     Index     Lower_CF     Upper_CF   Resultant_CF   Out-degree   
         2            0           16            8            6   
         3            0            8            4            4   
         4            0            4            2            4   
         5            0            2            1            0   
         6           16            8           12            1   
         7           16            4           10            1   
         8           16            2            9            0   
         9           16           12           14            2   
        10           16           10           13            0   
        11           16           14           15            0   
        12            8            4            6            1   
        13            8            2            5            0   
        14            8           14           11            0   
        15            8            6            7            0   
        16            4            2            3            0   
