     Index     Lower_CF     Upper_CF   Resultant_CF   Out-degree   
         2           16            0            8            6   
         3           16            8           12            4   
         4           16           12           14            4   
         5           16           14           15            0   
         6            0            8            4            1   
         7            0           12            6            1   
         8            0           14            7            0   
         9            0            4            2            2   
        10            0            6            3            0   
        11            0            2            1            0   
        12            8           12           10            1   
        13            8           14           11            0   
        14            8            2            5            0   
        15            8           10            9            0   
        16           12           14           13            0   
