
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
Target:'104',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [0,64,32] [128,32,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [64,96,80] [128,80,104] 
Target:'104',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [96,112,104] 
