
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
Target:'80',   Steps:3,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] 
Target:'80',   Steps:3,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] 
