     Index     Lower_CF   Lower_Index     Upper_CF   Upper_Index   Resultant_CF    In-degree   Out-degree       Volume   
         0            0           -1           16           -2            8            8            8            0   
         1            0           -1            8            0            4            4            4            0   
         1            8            0           16           -2           12            4            4            0   
         2            0           -1            4            1            2            2            2            0   
         2            4            1            8            0            6            2            2            0   
         2            8            0           12            1           10            2            2            0   
         2           12            1           16           -2           14            2            2            0   
         3            0           -1            2            2            1            2            0            2   
         3            2            2            4            1            3            2            0            2   
         3            4            1            6            2            5            2            0            2   
         3            6            2            8            0            7            2            0            2   
         3            8            0           10            2            9            2            0            2   
         3           10            2           12            1           11            2            0            2   
         3           12            1           14            2           13            2            0            2   
         3           14            2           16           -2           15            2            0            2   

Buffer_Vol 8  Solution_Vol 8   Waste_Vol 0  Output_Vol 16   Dilutions 15  
