     Index     Lower_CF   Lower_Index     Upper_CF   Upper_Index   Resultant_CF   
         0            0           -1           32           -2           16   
         1            0           -1           16            0            8   
         1           16            0           32           -2           24   
         2            0           -1            8            1            4   
         2            8            1           16            0           12   
         2           16            0           24            1           20   
         2           24            1           32           -2           28   
         3            0           -1            4            2            2   
         3            4            2            8            1            6   
         3            8            1           12            2           10   
         3           12            2           16            0           14   
         3           16            0           20            2           18   
         3           20            2           24            1           22   
         3           24            1           28            2           26   
         3           28            2           32           -2           30   
         4            0           -1            2            3            1   
         4            2            3            4            2            3   
         4            4            2            6            3            5   
         4            6            3            8            1            7   
         4            8            1           10            3            9   
         4           10            3           12            2           11   
         4           12            2           14            3           13   
         4           14            3           16            0           15   
         4           16            0           18            3           17   
         4           18            3           20            2           19   
         4           20            2           22            3           21   
         4           22            3           24            1           23   
         4           24            1           26            3           25   
         4           26            3           28            2           27   
         4           28            2           30            3           29   
         4           30            3           32           -2           31   
